track_id,track_name,artists,genre,track_genre,mood_list,activity_list,tempo,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,loudness,duration_ms,popularity
0fb9z2qXJ1t7kxYiqIawXt,"La traviata / Act 1: ""Libiamo ne'lieti calici"" (Brindisi)",Giuseppe Verdi;Cecilia Bartoli;Luciano Pavarotti;Coro Sinfonico di Milano Giuseppe Verdi;Orchestra Sinfonica di Milano Giuseppe Verdi;Riccardo Chailly,Classical,opera,Sad;Calm,studying;sleep,110.971,0.423,0.159,0.197,0.977,3.31e-05,0.054,0.0917,-17.058,181533,22
2XMR09PHSSWKGaSLG7hvV1,Bandeira Branca,Dalva De Oliveira,Latin,samba,Happy;Motivated,workout;commute;driving,116.837,0.405,0.717,0.812,0.137,0.0,0.0705,0.369,-6.322,171960,37
2JHX4L5wNhzxVMPwc7UMAw,Na Ja Tu,King,Hip-Hop,hip-hop,Sad,studying;commute,95.172,0.815,0.427,0.167,0.59,0.0,0.082,0.0648,-7.521,202105,57
7kA3xa1iqOLTjPpWiX0sw7,Vida Vazia,Desejo de Menina,Latin,forro,Happy;Energetic;Motivated,workout;driving,160.087,0.601,0.804,0.78,0.69,0.0002,0.0392,0.252,-4.405,210906,48
2pDqDYjyAU6WppdcfwdWf5,Stab,Bodysnatcher,Rock,death-metal,Energetic;Dark,workout,140.006,0.469,0.99,0.102,0.000116,2.59e-06,0.143,0.069,-2.429,171998,22
4atuUpMdGfq9JeRI6OQxM7,Marginais Acústico #1,Pk;Orochi;Felp 22;Adamovich;Marginal Supply;Medellin,R&B,funk,Happy;Romantic,commute;party;cooking,89.016,0.705,0.604,0.691,0.568,0.0,0.231,0.0971,-8.979,226730,48
3g6lu07lXAYkW9ETuTvRIf,"Holy, Holy, Holy",David Nevue,Chill,new-age,Sad;Calm,studying;sleep,126.485,0.27,0.139,0.0938,0.978,0.939,0.0488,0.101,-19.999,300320,21
0Yup6SQDmHmYKG8Faigkqk,"Thendral Vandhu Theendumbothu (From ""Avatharam"")",Ilaiyaraaja;S. Janaki,Pop,k-pop,Romantic;Chill;Nostalgic,commute;cooking,129.904,0.583,0.46,0.534,0.751,0.000147,0.035,0.146,-11.509,321056,62
7FT3zOpwSEmicThgQ5oWmw,Gymnopedie No.1,Dan Gibson's Solitudes,Chill,new-age,Sad;Calm,studying;sleep,79.765,0.138,0.0832,0.0801,0.985,0.878,0.0404,0.068,-19.81,190093,26
3qTNm4Mta37YmEcLeQcdw3,Oru Devathai,Yuvan Shankar Raja;Roop Kumar Rathod,Pop,k-pop,Sad;Chill,commute,120.033,0.625,0.492,0.28,0.163,0.000781,0.0332,0.111,-9.618,296760,63
7lozLnUfzcgEpMMVQI7yhA,Why,Bazzi,EDM,electro,Happy,commute;cooking;driving,113.01,0.676,0.67,0.54,0.353,0.0,0.0374,0.103,-6.584,148259,70
2MfwT3SKUyF0na2LCa2fCp,Cornflower Blue,Flower Face,Chill,ambient,Sad;Calm,studying;sleep,75.862,0.177,0.215,0.0415,0.807,0.000125,0.0335,0.0921,-9.886,188864,57
0yuJtvXsapVOQfNDYxQ5mw,Singularity,Stephan Bodzin,EDM,deep-house,Sad,studying;commute,121.0,0.752,0.486,0.0379,0.0479,0.877,0.0493,0.0926,-12.53,421306,50
7BeyKNY20Ti4CdpxnyUKSB,Cerecloth,Naglfar,Rock,black-metal,Energetic;Dark,workout,115.02,0.361,0.967,0.034,5.79e-06,0.288,0.0778,0.0876,-6.737,245400,20
0CfAmDfI8agDWSFLBBSCEI,In My Life,Gregorian,Chill,new-age,Sad;Calm;Chill,studying,75.971,0.332,0.305,0.109,0.928,4.77e-05,0.0322,0.137,-10.119,149558,21
5mqvRLCiuZkcVdDsB4JtKE,Eu Vejo Deus,Amanda Ferrari,R&B,gospel,Energetic,workout;driving,147.94,0.519,0.755,0.486,0.54,0.0,0.0332,0.25,-3.912,285173,41
6CNXp4dlBuNR1ZhaZ4SFDx,High Speed Daddy,John Lindberg Trio,Rock,rockabilly,Happy;Energetic;Motivated,workout,205.661,0.342,0.896,0.745,0.0277,3.59e-06,0.0952,0.0813,-5.171,167706,24
1skGwRjc7wYY70PJCAkKMr,Love Sick (feat. AR Paisley),Sidhu Moose Wala;AR Paisley,Hip-Hop,hip-hop,Happy,commute;cooking;driving,124.018,0.824,0.543,0.548,0.101,0.0,0.209,0.178,-8.667,232258,70
6j8ATOGSXRxegvNe1JBqwv,Al Compas De La Mentira,Tren Loco,Rock,heavy-metal,Energetic;Motivated,workout,120.007,0.528,0.952,0.545,7.18e-05,0.00413,0.0604,0.0633,-3.685,236306,19
1oi7QvpgDkBFTROce7LkB8,O Mio Babbino Caro,Giacomo Puccini;Kiri Te Kanawa;London Philharmonic Orchestra;Sir John Pritchard,Classical,opera,Sad;Calm,studying;sleep,111.735,0.246,0.125,0.076,0.985,0.000112,0.0431,0.262,-17.825,150133,49
3cAaGWlWEk4XAtRPSgEopn,Alô - Ao Vivo,Chitãozinho & Xororó;Simone & Simaria,Latin,sertanejo,Motivated,workout;commute;driving,130.22,0.544,0.732,0.527,0.542,0.0,0.0418,0.935,-5.088,200341,45
0WnXl0aQDdnL5KFrsZ9rGJ,Hymn,Liz Story,Chill,new-age,Calm;Nostalgic,studying;sleep,171.884,0.293,0.0613,0.363,0.991,0.869,0.0455,0.241,-26.689,257866,20
1kMObCQiYe5opqybH7ZNPD,Rave - Remix,Sam Paganini;Adam Beyer;Layton Giordani,EDM,deep-house,Dark,studying;commute;driving,131.007,0.732,0.627,0.266,0.000174,0.895,0.0524,0.0981,-13.712,239083,60
0wdLeSbEJyg7lkJ6WPD22L,Many Roads To Follow,Paul Collins,Pop,power-pop,Romantic,commute;cooking;driving,125.61,0.551,0.647,0.609,0.56,0.000268,0.0288,0.115,-9.078,144920,20
4ZCLM74MYhUy80TPiaAuee,When the Children Cry,White Lion,Rock,hard-rock,Sad;Calm;Nostalgic,studying;sleep,130.258,0.493,0.242,0.345,0.68,0.0,0.0291,0.071,-13.593,258600,61
4aUsqDkhFNG0IADV9SkaSY,Una Lágrima (Una Lacrima),Estela Nuñez,R&B,r-n-b,Calm;Romantic;Chill;Nostalgic,studying;commute,115.782,0.539,0.37,0.478,0.817,0.0,0.0307,0.393,-11.268,233293,45
3oyc1mIdCBGaU55wX7otqM,Pump It Up - 2021 Remaster,Elvis Costello & The Attractions,Pop,power-pop,Happy;Energetic;Motivated,workout;driving,138.978,0.645,0.809,0.966,0.00921,0.00108,0.0385,0.106,-6.12,196680,62
5PAdbw7X61H3fQ8OwaTuBO,Gaîté parisienne: Barcarolle,Jacques Offenbach;Boston Symphony Orchestra;Seiji Ozawa,Classical,opera,Sad;Calm,studying;sleep,77.356,0.103,0.0725,0.0747,0.96,0.694,0.0375,0.378,-23.629,227973,50
1fHpIPZ2kQdu8P5BvKLSjP,The Death of Me - Rock Mix,Asking Alexandria,Rock,metalcore,Energetic;Dark,workout,95.106,0.383,0.973,0.264,2.92e-05,0.0,0.0691,0.408,-2.305,204817,23
6XmozAAnvBf2VtLL53AkX0,Walk With Us - For Black Lives Matter,Alexis Ffrench,Chill,ambient,Sad;Calm,studying;sleep,168.963,0.299,0.0264,0.235,0.995,0.882,0.0469,0.073,-26.535,120456,57
7r48j4khJzIT2uqcIU33ax,Lala Lori,Fazilpuria;Afsana Khan,Hip-Hop,hip-hop,Happy;Motivated,commute;party;driving,105.037,0.863,0.741,0.682,0.302,0.0,0.194,0.215,-4.294,160000,56
5jXwDTzWWPK4AzJwHEHdkQ,SÚBELE EL VOLUMEN,Daddy Yankee;Myke Towers;Jhayco,Hip-Hop,hip-hop,Happy,commute;party;cooking;driving,101.036,0.83,0.623,0.614,0.0219,0.0,0.0801,0.0812,-4.056,223366,2
3imRMSkPHpFn9p0QcyjEn3,Pensa Bem / Chega Aí / Falando Com os Astros - Ao Vivo,Grupo Sambaí,Latin,pagode,Happy;Motivated,workout;commute;driving,112.043,0.636,0.705,0.686,0.75,1.15e-05,0.0436,0.937,-7.437,405254,42
5QLKWX0W2fcPqeuwG5pg2O,Maravilhoso,Ministério Koinonya de Louvor;Ludmila Ferber,R&B,gospel,Sad;Calm;Chill,studying;commute,99.71,0.325,0.369,0.186,0.871,3.53e-06,0.0327,0.872,-13.408,272770,37
1EGPPReB4V4Nt4xTCyrsRj,Come un fiume tu,Andrea Bocelli,Classical,opera,Sad;Chill,commute,91.541,0.2,0.464,0.113,0.897,2.3e-06,0.0468,0.383,-7.261,285193,21
0xHxeH4QTqlfNrQvczkoTA,I Can't Explain - Stereo Version,The Who,Rock,psych-rock,Happy;Energetic;Motivated,workout;driving,138.825,0.607,0.783,0.843,0.0409,0.0,0.0505,0.0461,-8.391,125967,53
6YtlaPxgVWZHO7OB1atIEf,Kahan Par Hai,MC STAN,Hip-Hop,hip-hop,Dark,commute;party;cooking;driving,141.974,0.706,0.695,0.489,0.461,0.0,0.0541,0.306,-7.103,219758,57
2CTF8nIEKhr6NXKqqFg4kN,Chave do Cofre,Igão;Kyan;Nagalli;Bvga;Toledo,R&B,funk,Happy,commute;cooking;driving,127.974,0.664,0.695,0.697,0.441,0.0,0.247,0.136,-5.646,153774,44
1cd4yqySZHnQ89SEQlmhwV,Acreditar,Roberto Ribeiro,Latin,samba,Happy,commute;cooking,86.475,0.673,0.637,0.811,0.37,0.0,0.293,0.12,-11.704,230600,36
5ff4h9mRnDDG84NSA4TNki,Holiday,Alter Bridge,Rock,grunge,Energetic,workout,140.089,0.457,0.94,0.463,2.04e-05,0.0,0.11,0.301,-5.624,238467,54
0TEm33n5APQRJ45tWmRnxQ,Rocanrol N´n´n´,Las Pastillas del Abuelo,Rock,alt-rock,Happy,commute;cooking;driving,100.022,0.703,0.589,0.931,0.138,2.4e-05,0.0249,0.145,-6.106,266143,50
3hAfhIPK4i1D77Bdiq7t7w,Celtic Prayer,Méav,Chill,new-age,Chill,commute,171.189,0.293,0.444,0.359,0.375,0.242,0.0481,0.111,-10.783,260066,21
04aulIHjjQyDVUUmaFDy8w,Angetenar,Rompasso;Rich The Kid,EDM,edm,Energetic;Dark,workout,109.939,0.708,0.879,0.202,0.0066,0.0,0.342,0.116,-4.437,190909,59
4TmPunCnlJjiKu2iYhqapU,Lost Cause,Billie Eilish,EDM,electro,Calm;Romantic;Chill;Nostalgic,studying,75.051,0.671,0.336,0.518,0.705,0.00751,0.241,0.0577,-8.494,212496,0
6uiTWAJmiA7UO0bb80982m,Bass Rani,Nucleya,EDM,edm,Dark,commute;driving,108.078,0.768,0.576,0.248,0.00705,0.000442,0.0755,0.0735,-12.326,146666,43
59eGOi9E4dV8OE3twHmvFb,"Suite No. 1 pour violoncelle seul in G Major, BWV 1007: Prélude - Opening",Johann Sebastian Bach;Jean-Philippe Audin,Classical,classical,Calm;Nostalgic,studying;sleep,134.081,0.334,0.0699,0.595,0.986,0.853,0.056,0.108,-19.734,158746,0
5E3RRVmYMaVXC6B8TaJ7aK,Candy for the Cannibal,Lordi,Rock,heavy-metal,Energetic,workout,148.032,0.484,0.953,0.481,0.00256,9.44e-05,0.0662,0.273,-7.097,282733,21
3867OELXCNpXgtLMPRRlNd,Black Metal,Venom,Rock,black-metal,Energetic,workout,80.076,0.265,0.756,0.444,0.000939,1.32e-05,0.0571,0.201,-12.136,224160,10
5JuN6H8LK9xysclyk356rl,Who's There,Peter Sandberg,Chill,ambient,Sad;Calm,studying;sleep,136.003,0.554,0.0782,0.0922,0.957,0.944,0.04,0.107,-23.678,157110,50
0cWpzbxRUKyM3x1R7rxBgi,Hall Of Kings,Wisp,EDM,idm,Energetic;Dark,studying;driving,95.739,0.619,0.778,0.228,0.0444,0.598,0.172,0.236,-16.775,267040,11
63xpjDxbwROqqERnq7SvlX,Pot-Pourri: Te Quero Pra Mim / Convite de Casamento / Meu Disfarce,Murilo Huff,Latin,sertanejo,Sad;Chill;Nostalgic,commute,145.069,0.458,0.469,0.303,0.583,0.0,0.0421,0.254,-7.161,323754,53
3XhxhwqJaSF4BkCVWigHig,Wahine Hololio,George Winston,Chill,new-age,Sad;Calm;Nostalgic,studying;sleep,132.482,0.506,0.00873,0.31,0.992,0.817,0.067,0.0925,-20.697,373986,23
5pT0eVpi7qZuqCFtqcErQX,Opera Reload,Living Room,Jazz,jazz,Sad;Chill,studying;commute,79.988,0.373,0.48,0.345,0.307,0.855,0.0326,0.731,-12.869,199564,0
3oHSL6pt9LpNrQZuQGu9wL,"Requiem, K. 626: Lacrimosa","Wolfgang Amadeus Mozart;Michael Finnissy;Academy of Ancient Music;Stephen Cleobury;Choir of King's College, Cambridge",Classical,classical,Sad;Calm,studying;sleep,132.047,0.162,0.0898,0.0413,0.944,0.917,0.0354,0.187,-23.269,169666,62
4J0LMAbGMFktgaR9CfF5FU,"Oh, Round Lake",Novo Amor,Chill,ambient,Sad;Calm,studying;sleep,124.824,0.564,0.227,0.222,0.963,0.000824,0.0407,0.0601,-14.668,175093,51
48oUsw9LrmRT7paajfxU77,大風吹,No Party For Cao Dong,Pop,mandopop,Chill,commute;cooking;driving,175.944,0.523,0.543,0.489,0.0694,0.00234,0.0385,0.0516,-9.544,236080,52
45PD1shJcUVckmslQycpEL,Maravilha Te Amar,Os Travessos,Latin,pagode,Happy;Energetic;Motivated,driving,98.334,0.643,0.848,0.9,0.192,0.0,0.056,0.121,-9.404,189466,51
1yZKiXqW2nLzRjUHyRTYAx,Ponto Final / Ponto Fraco - Ao Vivo,Rodriguinho;Gaab;Mr. Dan;Thiaguinho,Latin,pagode,Energetic;Motivated,workout,149.594,0.501,0.878,0.635,0.469,0.0,0.102,0.696,-4.099,228309,40
73ej5lGd0Pyji6pbIBQ9fi,Holiday (2015 - Remaster),Scorpions,Rock,hard-rock,Sad;Chill,commute,117.95,0.436,0.426,0.305,0.371,0.0133,0.0311,0.242,-8.683,391360,22
4h5X8Gsqd1PjQKgSUjbwHh,Golpe Sem Roupa,Fiduma & Jeca;Guilherme & Benuto,Latin,sertanejo,Energetic;Motivated,workout;driving,117.855,0.622,0.819,0.627,0.352,0.0,0.0524,0.144,-2.683,176277,46
6y2Kaz9QI01XBKJ8mTb7Pf,Skin,Rag'n'Bone Man,R&B,soul,Dark,workout;commute;driving,170.661,0.564,0.745,0.351,0.265,0.0,0.31,0.147,-7.733,239626,68
1B5YsfY3azhY2WBsyK0NgC,I've Earned My Time,Upon A Burning Body,Rock,death-metal,Energetic;Dark,workout,127.343,0.459,0.995,0.29,0.000123,0.0,0.131,0.183,-2.107,187733,23
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,Ariana Grande;The Weeknd,EDM,dance,Dark,commute;driving,98.992,0.472,0.714,0.24,0.00937,0.0,0.0334,0.0764,-4.389,236133,78
77NeUUVZdOnXUqeF6Iakb4,By Heart,Jim Brickman,Chill,new-age,Sad;Calm,sleep,131.556,0.41,0.254,0.289,0.484,0.0,0.0284,0.126,-12.033,228053,20
6Upu6yjkdi0DVI8E3IBZEU,Don't Wanna Cry,SEVENTEEN,Pop,k-pop,Happy,commute;party;cooking;driving,100.005,0.781,0.683,0.722,0.164,1.53e-06,0.0325,0.16,-4.258,203426,71
3VV5d66lAtFIusefvr1ssz,Skating,Vince Guaraldi Trio,Jazz,jazz,Calm;Nostalgic,studying;sleep,130.342,0.473,0.297,0.551,0.75,0.535,0.0321,0.129,-17.103,145640,0
1DXTkrWs5R0WFLaE776Ath,Weightless,Old 97's,Pop,power-pop,Chill,commute;cooking,84.097,0.528,0.423,0.474,0.0717,0.00215,0.025,0.276,-10.147,224426,21
3hVc5y5mbcIEPADRGGGru9,One Bottle Down,Yo Yo Honey Singh,Hip-Hop,hip-hop,Dark,commute;driving,131.966,0.655,0.629,0.193,0.00109,0.063,0.0415,0.0752,-7.231,196556,59
4lZ0S6jbJbeOmkfFXfDNxl,Turn Out the Lights,Julien Baker,Chill,ambient,Sad;Calm,studying;sleep,82.5,0.429,0.292,0.0352,0.725,2.1e-05,0.0278,0.0887,-7.65,203973,46
2o3OUVwsBPBypjRQObZsVj,Lotus,Within Destruction,Rock,death-metal,Energetic;Dark,workout,82.862,0.33,0.97,0.251,2.77e-05,0.000117,0.182,0.355,-4.042,212858,47
0DWUfq7vSAArkz82XHnuGm,SEM LIMITES,WC no Beat;LUDMILLA;Vitão,R&B,funk,Happy;Romantic,commute;cooking;driving,141.946,0.721,0.599,0.665,0.416,0.0,0.299,0.14,-5.41,171370,44
2fHFLyzAQYlguX5q0DfKlD,I Know There's Gonna Be (Good Times),Jamie xx;Young Thug;Popcaan,EDM,electronic,Chill,commute;cooking,89.606,0.657,0.597,0.486,0.12,0.0,0.168,0.477,-9.919,213622,59
57NChv3uzjm8y4Y3x3Y8g0,Aç Sesini,Sertab Erener,Pop,j-pop,Energetic;Dark,workout,67.006,0.562,0.751,0.341,0.136,1.45e-06,0.0315,0.0895,-6.478,240933,38
2oGCF7bqdm78ERoKVUp7LT,"12 German Dances, K. 586: No. 2 in G Major",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,Classical,classical,Calm,studying;sleep,153.056,0.464,0.125,0.813,0.919,0.13,0.0693,0.284,-16.569,94666,1
2gNMXJDKRmKWuevBGjN8wo,3:59 AM,DIVINE,Hip-Hop,hip-hop,Dark;Chill,commute;driving,97.026,0.669,0.588,0.237,0.177,0.0,0.339,0.179,-6.902,272197,67
1SZp7sIqzHHh1YMaMu8FL2,"12 Variations on an Allegretto in B Flat, K.500: 11. VariatiIon X",Wolfgang Amadeus Mozart;Danielle Laval,Classical,classical,Sad;Calm;Nostalgic,studying;sleep,100.924,0.372,0.0722,0.324,0.993,0.898,0.0331,0.0886,-24.857,64379,9
3Yo9kEVE2UVSVFtxNXK2u2,Broken,12 Stones,Rock,grunge,Energetic;Motivated,workout,96.925,0.531,0.95,0.525,0.00362,0.0,0.0486,0.378,-3.926,179066,53
0dHSlVVbPb7hiGdlkMv6vB,Caminito - Remastered,Libertad Lamarque,Latin,tango,Sad;Calm;Nostalgic,studying;sleep,111.087,0.48,0.101,0.345,0.949,1.24e-05,0.0516,0.109,-11.186,185733,19
5u8XmgNqmWZORE6XByIj1J,O Povo da Periferia (Expressão Ativa),Ndee Naldinho,R&B,r-n-b,Calm;Romantic,studying;commute,133.96,0.804,0.371,0.749,0.515,1.08e-05,0.138,0.173,-15.462,469999,42
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi;Daddy Yankee;Justin Bieber,Latin,latin,Happy;Energetic;Motivated,workout;driving,178.085,0.653,0.816,0.816,0.228,0.0,0.167,0.0967,-4.353,228826,72
3S0vUpTBgQDPt88rKzssCM,"Lakmé, Act 1: Dôme épais le jasmin ""Flower Duet""",Léo Delibes;Carl Davis;Royal Liverpool Philharmonic Orchestra;Janice Watson;Ruby Philogene;The King's Division Normandy Band,Classical,opera,Sad;Calm,studying;sleep,81.64,0.34,0.217,0.119,0.98,7.67e-05,0.0502,0.301,-15.874,91466,21
6Xt4HVQvuWd8yIgUNT4knk,Don't Forget To Feed The Reindeer,Peggy Lee,Jazz,jazz,Calm,studying;sleep,115.581,0.755,0.224,0.759,0.864,0.0,0.0483,0.335,-11.333,167693,0
